value,clean,CODI_ATC_1,NOMBRE_1,CODI_ATC_0.9,NOMBRE_0.9,CODI_ATC_0.8,NOMBRE_0.8,CODI_ATC_0.7,NOMBRE_0.7
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Sinvastatina 10,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Pravafenix,PRAVAFENIX,,,,,,,,
OMEGAFORT colesterol,OMEGAFORT COLESTEROL,,,,,,,,
SIMBASTATINA,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
decol,DECOL,,,,,,,C10AA,LESCOL
Cardil,CARDIL,,,,,C10AA,CARDYL,C10AA,CARDYL
Sivaltecina,SIVALTECINA,,,,,,,J01MA,ESTECINA
estatina,ESTATINA,,,,,L01BB,LEUSTATIN,L01BB,LEUSTATIN
Natural omega 3 y arroz rojo fermentado,NATURAL OMEGA  Y ARROZ ROJO FERMENTADO,,,,,,,,
SIMVASTATINA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
silbastatina,SILBASTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sinvastatina 10mg,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
COLESTOP FORTE,COLESTOP FORTE,,,,,,,C10AA,COLEMIN FORTE
OTRO,OTRO,,,,,J01DD,OTREON,J01DD,OTREON
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
atrovastatina,ATROVASTATINA,,,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA
Symvastatina,SYMVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SIMVASTINA 20mg,SIMVASTINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Omeopatia,OMEOPATIA,,,,,,,,
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
medicamento,MEDICAMENTO,,,,,,,,
sinbastatina,SINBASTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
symbastatina,SYMBASTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SIMVASTATINA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
auperinol,AUPERINOL,,,,,,,M04AA,ALOPURINOL
Sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Arno l?pid plus,ARNO L?PID PLUS,,,,,,,,
sivastatina 10,SIVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sinvastanina,SINVASTANINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SEVASTATINA,SEVASTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
simbastatina 10mg,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SIMVASTATINA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SIMVASTATINA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Llevadura vermella d'arros,LLEVADURA VERMELLA DARROS,,,,,,,,
Medicina natural,MEDICINA NATURAL,,,,,,,,
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
ZARATOR 10 MG,ZARATOR,C10AA,ZARATOR,C10AA,ZARATOR,C10AA,ZARATOR,C10AA,ZARATOR
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
cardil,CARDIL,,,,,C10AA,CARDYL,C10AA,CARDYL
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SIMVASTITINA 20,SIMVASTITINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
COLESTABIL LRA,COLESTABIL LRA,,,,,,,,
ciloric,CILORIC,,,,,,,M04AA,ZYLORIC
CARDIL,CARDIL,,,,,C10AA,CARDYL,C10AA,CARDYL
nivelcol,NIVELCOL,,,,,,,M01AX,NIFLACTOL
Simvastatina,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
LOPID 600,LOPID,C10AB,LOPID,C10AB,LOPID,C10AB,LOPID,C10AB,LOPID
OMEGA 3,OMEGA,,,,,,,N02BA,DOLOMEGA
sinbastatina,SINBASTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
LIPIVAN,LIPIVAN,,,,,N01AX,DIPRIVAN,N01AX,DIPRIVAN
CASTROL,CASTROL,,,,,,,N06AB,CASBOL
SIMBASTATINA,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sivastatina,SIVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Red Yeast Rice,RED YEAST RICE,,,,,,,,
SIMVASTATINA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SIMBASTATINA,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
ATORVASTATINA 20 M,ATORVASTATINA  M,,,,,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA
Armolipid plus,ARMOLIPID PLUS,,,,,,,J01CA,AMPIPLUS
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SIMVASTATINA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sinvastatina10,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SILVALSATINA 10,SILVALSATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
symbastatina,SYMBASTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SILVASTATINA,SILVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Sylvastamina,SYLVASTAMINA,,,,,,,C10AA,LOVASTATINA
Astorvastina,ASTORVASTINA,,,,,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA
Sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
?CID OMEGA 3,?CID OMEGA,,,,,,,,
silvastatina,SILVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
silvastatina,SILVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Simbastatina 10 mg,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
STERP STOP,STERP STOP,,,,,,,C09AA,TENSO STOP
lipsan,LIPSAN,,,,,,,M01AX,LISTRAN
estatines i fibrats,ESTATINES I FIBRATS,,,,,,,,
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Simbastatina 20mg,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
symbastatina,SYMBASTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
LEVADURA DE ARROZ ROJO,LEVADURA DE ARROZ ROJO,,,,,,,,
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sivastatina,SIVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
simvastatina,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
GEMBROZILO,GEMBROZILO,,,C10AB,GEMFIBROZILO,C10AB,GEMFIBROZILO,C10AB,GEMFIBROZILO
silvastatina,SILVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Sinvastratina,SINVASTRATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SINVASTATINA 10 MG,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
colestid,COLESTID,C10AC,COLESTID,C10AC,COLESTID,C10AC,COLESTID,C10AC,COLESTID
ARMOLIPID PLUS,ARMOLIPID PLUS,,,,,,,J01CA,AMPIPLUS
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
medicina natural,MEDICINA NATURAL,,,,,,,,
Sinvastatina 20 mg,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Sevastatina,SEVASTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
SIMBASTATINA,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
arroz rojo,ARROZ ROJO,,,,,,,,
OMEGA 3,OMEGA,,,,,,,N02BA,DOLOMEGA
Ezetrol y Pravastatina10,EZETROL Y PRAVASTATINA,,,,,,,C10AA,PRAVASTATINA
ezetimiba,EZETIMIBA,,,,,,,,
omega 3,OMEGA,,,,,,,N02BA,DOLOMEGA
silbastatina,SILBASTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
ATORBASTATINA,ATORBASTATINA,,,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA
lecitina de soja,LECITINA DE SOJA,,,,,,,,
MEDECINA   NATURAL,MEDECINA   NATURAL,,,,,,,A04AD,MEDECITRAL
fibrats,FIBRATS,,,,,,,N05CF,LIBRATA
colesteril,COLESTERIL,,,,,,,C10AC,COLESTID
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Ezetrol y Pravastatina 10,EZETROL Y PRAVASTATINA,,,,,,,C10AA,PRAVASTATINA
ADIRO 100,ADIRO,B01AC,ADIRO,B01AC,ADIRO,B01AC,ADIRO,B01AC,ADIRO
symbastatina,SYMBASTATINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
COPIDROGREL,COPIDROGREL,,,B01AC,CLOPIDOGREL,B01AC,CLOPIDOGREL,B01AC,CLOPIDOGREL
"SIMVASTATINA, ADIRO, BISOPROL",SIMVASTATINA ADIRO BISOPROL,,,,,,,,
Blokium,BLOKIUM,C07AB,BLOKIUM,C07AB,BLOKIUM,C07AB,BLOKIUM,C07AB,BLOKIUM
ticagrlor,TICAGRLOR,,,,,,,A11JC,CARLOREN
veure nota,VEURE NOTA,,,,,,,,
IXIA,IXIA,C09CA,IXIA,C09CA,IXIA,C09CA,IXIA,C09CA,IXIA
BISOPROLOL,BISOPROLOL,,,,,C07AB,BISOPROLOL COR,C07AB,BISOPROLOL COR
adiro,ADIRO,B01AC,ADIRO,B01AC,ADIRO,B01AC,ADIRO,B01AC,ADIRO
ticagrelor,TICAGRELOR,,,,,,,,
els del IAM,ELS DEL IAM,,,,,,,,
aas,AAS,,,,,,,R03DX,DAXAS
AMOXI+3 COMBINATS,AMOXI COMBINATS,,,,,,,J01CA,AMOXI GOBENS
omeoprazol,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
Claritromicina Winthrop 500MG,CLARITROMICINA WINTHROP,,,,,,,J01FA,CLARITROMICINA
omeoprazol,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
ampicilina + levofloxacino,AMPICILINA  LEVOFLOXACINO,,,,,,,,
omeoprazol,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
AUMENTINE,AUMENTINE,,,J01CR,AUGMENTINE,J01CR,AUGMENTINE,J01CR,AUGMENTINE
OMEOPRAZOL,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
antibiotic triple,ANTIBIOTIC TRIPLE,,,,,,,,
OMEOPRAZOL,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
Amoxicilina Teva 1G,AMOXICILINA TEVA,,,,,J01CA,AMOXICILINA,J01CA,AMOXICILINA
PROTECTOR GASTRICO,PROTECTOR GASTRICO,,,,,,,A03AX,PERGASTRIC
Omeprazol Cinfa 20Mg,OMEPRAZOL CINFA,,,,,,,A02BC,OMEPRAZOL
RENITIDINA,RENITIDINA,,,A02BA,RANITIDINA,A02BA,RANITIDINA,A02BA,RANITIDINA
Mesalacina,MESALACINA,,,,,,,A07AX,SALVACOLINA
renitidina,RENITIDINA,,,A02BA,RANITIDINA,A02BA,RANITIDINA,A02BA,RANITIDINA
BARACLUDE,BARACLUDE,J05AF,BARACLUDE,J05AF,BARACLUDE,J05AF,BARACLUDE,J05AF,BARACLUDE
VENLAFAXINARETARD,VENLAFAXINARETARD,,,,,,,N06AX,VENLAFAXINA
BARACLUDE 1MG,BARACLUDE,J05AF,BARACLUDE,J05AF,BARACLUDE,J05AF,BARACLUDE,J05AF,BARACLUDE
VACUNA,VACUNA,,,,,,,J07AN,VACUNA BCG
AIRUS 20,AIRUS,,,,,,,R06AX,AERIUS
renalier,RENALIER,,,,,,,R06AX,RINIALER
Ebastel,EBASTEL,R06AX,EBASTEL,R06AX,EBASTEL,R06AX,EBASTEL,R06AX,EBASTEL
RYNALAIR,RYNALAIR,,,,,D07AC,SYNALAR,D07AC,SYNALAR
EBASTEL,EBASTEL,R06AX,EBASTEL,R06AX,EBASTEL,R06AX,EBASTEL,R06AX,EBASTEL
antiestaminics,ANTIESTAMINICS,,,,,,,S01GX,ANTIHISTAMINICO LLORENS
CETIRIZINA,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA
loratidina,LORATIDINA,,,R06AX,LORATADINA,R06AX,LORATADINA,R06AX,LORATADINA
alerlaisin,ALERLAISIN,,,R06AE,ALERLISIN,R06AE,ALERLISIN,R06AE,ALERLISIN
actitiol,ACTITIOL,,,R05CB,ACTITHIOL,R05CB,ACTITHIOL,R05CB,ACTITHIOL
cobre y manganeso,COBRE Y MANGANESO,,,,,,,,
vacuna sublingual,VACUNA SUBLINGUAL,,,,,,,,
VACUNAS,VACUNAS,,,,,,,J01MA,VICNAS
Avamys,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS
Cetrizina,CETRIZINA,,,R06AE,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA
vacuna antialergica,VACUNA ANTIALERGICA,,,,,J06BA,CENGAMA ANTIALERGICA,J06BA,CENGAMA ANTIALERGICA
SIMBICORT / VENTOLIN /OMEPRAZOL,SIMBICORT  VENTOLIN OMEPRAZOL,,,,,,,,
"VENTOLIN, BILAXTEN,FUSTER NEXTHALER, AVAMYS",VENTOLIN BILAXTENFUSTER NEXTHALER AVAMYS,,,,,,,,
PURETHAL,PURETHAL,,,,,,,N02BE,APIRETAL
pulmicort,PULMICORT,R03BA,PULMICORT,R03BA,PULMICORT,R03BA,PULMICORT,R03BA,PULMICORT
antihistaminic,ANTIHISTAMINIC,,,,,,,S01GX,ANTIHISTAMINICO LLORENS
RELVAR ELLIPTA,RELVAR ELLIPTA,,,,,,,,
Vacuna per l'al?l?rgia,VACUNA PER LAL?L?RGIA,,,,,,,,
loratadina,LORATADINA,R06AX,LORATADINA,R06AX,LORATADINA,R06AX,LORATADINA,R06AX,LORATADINA
Citericina,CITERICINA,,,,,,,A07AX,INTETRICINE
colirio,COLIRIO,,,,,R01AD,POLIRINO,R01AD,POLIRINO
depigoid duo,DEPIGOID DUO,,,,,,,,
ebastina forte,EBASTINA FORTE,,,,,R06AX,EBASTEL FORTE,R06AX,EBASTEL FORTE
diferents tipus,DIFERENTS TIPUS,,,,,,,,
Ebastel forte,EBASTEL FORTE,R06AX,EBASTEL FORTE,R06AX,EBASTEL FORTE,R06AX,EBASTEL FORTE,R06AX,EBASTEL FORTE
"Antihistamico, spray y pastillas",ANTIHISTAMICO SPRAY Y PASTILLAS,,,,,,,,
"aceite de onagra,y espirulina",ACEITE DE ONAGRAY ESPIRULINA,,,,,,,,
NASONEX,NASONEX,R01AD,NASONEX,R01AD,NASONEX,R01AD,NASONEX,R01AD,NASONEX
hongos Reishi,HONGOS REISHI,,,,,,,,
vacuna immunoterapia,VACUNA IMMUNOTERAPIA,,,,,,,,
Tractament homeop?tic,TRACTAMENT HOMEOP?TIC,,,,,,,,
Vacuna - Olivera,VACUNA  OLIVERA,,,,,,,,
dymista,DYMISTA,,,,,,,,
Cetricina,CETRICINA,,,,,R06AE,CETIRIZINA,R06AE,CETIRIZINA
vacuna ?cars,VACUNA ?CARS,,,,,,,J07AN,VACUNA BCG
Pastilles Naturals.,PASTILLES NATURALS,,,,,,,,
vacuna,VACUNA,,,,,,,J07AN,VACUNA BCG
Nutira,NUTIRA,,,,,,,D01AC,NUTRACEL
vacuna,VACUNA,,,,,,,J07AN,VACUNA BCG
Vacunaci? anual,VACUNACI? ANUAL,,,,,,,,
ceritrizina,CERITRIZINA,,,,,R06AE,CETIRIZINA,R06AE,CETIRIZINA
budasomida,BUDASOMIDA,,,,,,,A01AB,ODAMIDA
Homeopatia: pollens,HOMEOPATIA POLLENS,,,,,,,,
Rupaf?n,RUPAF?N,,,,,R06AX,RUPAFIN,R06AX,RUPAFIN
rinofresh,RINOFRESH,,,,,,,S01XA,VISCOFRESH
Cetirizina,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA
Antihistam?nics (bilastina),ANTIHISTAM?NICS BILASTINA,,,,,,,,
Evastel/claritine,EVASTELCLARITINE,,,,,,,,
Cetrizina,CETRIZINA,,,R06AE,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA
ANTIESTEMINIC,ANTIESTEMINIC,,,,,,,,
citerizina/citericina,CITERIZINACITERICINA,,,,,,,,
Evastel Forte,EVASTEL FORTE,,,R06AX,EBASTEL FORTE,R06AX,EBASTEL FORTE,R06AX,EBASTEL FORTE
cetirizina 10mg,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA
RINOSTOP,RINOSTOP,,,,,,,R01AD,RINOSONE
flores de bach,FLORES DE BACH,,,,,,,,
ibis 20 mg,IBIS,R06AX,IBIS,R06AX,IBIS,R06AX,IBIS,R06AX,IBIS
Cetricina,CETRICINA,,,,,R06AE,CETIRIZINA,R06AE,CETIRIZINA
antihistam?nics,ANTIHISTAM?NICS,,,,,,,S01GX,ANTIHISTAMINICO LLORENS
Rino-Ebastel,RINOEBASTEL,,,R01BA,RINO EBASTEL,R01BA,RINO EBASTEL,R01BA,RINO EBASTEL
DESLORATADINA,DESLORATADINA,,,R06AX,DESLORATADINA ,R06AX,DESLORATADINA ,R06AX,DESLORATADINA 
homeopatia,HOMEOPATIA,,,,,,,,
antiestaminico,ANTIESTAMINICO,,,,,,,S01GX,ANTIHISTAMINICO LLORENS
Ceterizina,CETERIZINA,,,R06AE,CETIRIZINA,R06AE,CETIRIZINA,R06AE,CETIRIZINA
antiestaminic,ANTIESTAMINIC,,,,,,,,
homeopatia,HOMEOPATIA,,,,,,,,
ebastel,EBASTEL,R06AX,EBASTEL,R06AX,EBASTEL,R06AX,EBASTEL,R06AX,EBASTEL
Desloratadina,DESLORATADINA,,,R06AX,DESLORATADINA ,R06AX,DESLORATADINA ,R06AX,DESLORATADINA 
vacuna ?cars,VACUNA ?CARS,,,,,,,J07AN,VACUNA BCG
Vacuna mensual per Perit?ria,VACUNA MENSUAL PER PERIT?RIA,,,,,,,,
antihistam?nicos,ANTIHISTAM?NICOS,,,,,,,S01GX,ANTIHISTAMINICO LLORENS
pulmicord,PULMICORD,,,,,R03BA,PULMICORT,R03BA,PULMICORT
dymista 137,DYMISTA,,,,,,,,
AVAMYS,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS
"""RINOBASTEL""",RINOBASTEL,,,R01BA,RINO EBASTEL,R01BA,RINO EBASTEL,R01BA,RINO EBASTEL
"AERIUS, ATARAX",AERIUS ATARAX,,,,,,,,
ANTIESTAMINIC GENERIC,ANTIESTAMINIC GENERIC,,,,,,,,
antiistaminico,ANTIISTAMINICO,,,,,,,S01GX,ANTIHISTAMINICO LLORENS
SINGULAIR,SINGULAIR,R03DC,SINGULAIR,R03DC,SINGULAIR,R03DC,SINGULAIR,R03DC,SINGULAIR
Espray nasdal amb cortisona,ESPRAY NASDAL AMB CORTISONA,,,,,,,,
vacuna especifica al?rgia,VACUNA ESPECIFICA AL?RGIA,,,,,,,,
AERIUS 5MG 20,AERIUS MG,,,,,R06AX,AERIUS,R06AX,AERIUS
vacuna alternalia alternata,VACUNA ALTERNALIA ALTERNATA,,,,,,,,
depigoid vacuna,DEPIGOID VACUNA,,,,,,,,
abamis,ABAMIS,,,,,,,,
cremas,CREMAS,,,,,,,A10BD,EUCREAS
RINOCOR; FRENASAL...,RINOCOR FRENASAL,,,,,,,R01AC,RINOFRENAL
INYECCIONES ALERGIA ACAROS POLVO,INYECCIONES ALERGIA ACAROS POLVO,,,,,,,,
vacuna gato,VACUNA GATO,,,,,,,J07AN,VACUNA BCG
vacuna acars,VACUNA ACARS,,,,,,,J07AN,VACUNA BCG
cetricina,CETRICINA,,,,,R06AE,CETIRIZINA,R06AE,CETIRIZINA
VACUNA,VACUNA,,,,,,,J07AN,VACUNA BCG
sublingual plus 3v sp platanus acer 100%,SUBLINGUAL PLUS V SP PLATANUS ACER,,,,,,,,
TEBARAT,TEBARAT,,,,,,,L04AC,STELARA
vacuna,VACUNA,,,,,,,J07AN,VACUNA BCG
Butoasma,BUTOASMA,,,R03AC,BUTO ASMA,R03AC,BUTO ASMA,R03AC,BUTO ASMA
Homeopatia: poumon histaminum,HOMEOPATIA POUMON HISTAMINUM,,,,,,,,
vacuna anti al?l?rgica,VACUNA ANTI AL?L?RGICA,,,,,,,J07BG,VACUNA ANTIRRABICA
Vacuna amb alerg?nics,VACUNA AMB ALERG?NICS,,,,,,,,
rinocort,RINOCORT,,,R01AD,RHINOCORT,R01AD,RHINOCORT,R01AD,RHINOCORT
ultibro,ULTIBRO,,,,,,,H03AA,EUTIROX
Avamys,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS,R01AD,AVAMYS
zamene,ZAMENE,H02AB,ZAMENE,H02AB,ZAMENE,H02AB,ZAMENE,H02AB,ZAMENE
Budesonida Nasal Pulv,BUDESONIDA NASAL PULV,,,,,R01AD,BUDESONIDA NASAL,R01AD,BUDESONIDA NASAL
RELVAR,RELVAR,,,,,,,N07BB,REVIA
colirio,COLIRIO,,,,,R01AD,POLIRINO,R01AD,POLIRINO
ventolin,VENTOLIN,,,,,R03CC,VENTOLIN INY,R03CC,VENTOLIN INY
corticoide,CORTICOIDE,,,,,,,R05X,CORICIDIN
TEBARAT,TEBARAT,,,,,,,L04AC,STELARA
ANTIESTAMINIC,ANTIESTAMINIC,,,,,,,,
darcotin,DARCOTIN,,,,,H02AB,DACORTIN,H02AB,DACORTIN
antihistam?nic,ANTIHISTAM?NIC,,,,,,,S01GX,ANTIHISTAMINICO LLORENS
antiestam?nicos,ANTIESTAM?NICOS,,,,,,,,
COLIRICS,COLIRICS,,,,,L04AA,SOLIRIS,L04AA,SOLIRIS
Homeopatia: allium cepa,HOMEOPATIA ALLIUM CEPA,,,,,,,,
Coliri antiestam?nic,COLIRI ANTIESTAM?NIC,,,,,,,S01HA,COLIRCUSI ANESTESICO
RYNALAIR,RYNALAIR,,,,,D07AC,SYNALAR,D07AC,SYNALAR
Loratidina,LORATIDINA,,,R06AX,LORATADINA,R06AX,LORATADINA,R06AX,LORATADINA
homeopatia,HOMEOPATIA,,,,,,,,
RINOCOR,RINOCOR,,,,,R01AA,RINOCORIN,R01AA,RINOCORIN
Lorotadine,LOROTADINE,,,,,R06AX,LORATADINA,R06AX,LORATADINA
Nasorex,NASOREX,,,,,R01AD,NASONEX,R01AD,NASONEX
antiestaminic,ANTIESTAMINIC,,,,,,,,
inahal Vicks barra nasal,INAHAL VICKS BARRA NASAL,,,R01AX,INHALVICKS BARRA NASAL,R01AX,INHALVICKS BARRA NASAL,R01AX,INHALVICKS BARRA NASAL
